z,mu_mean,mu_sigma,dl_mpc_mean,dl_mpc_sigma
1.87,45.570096497144554,0.1306074290293382,13025.421299701315,779.0602014036157
1.8800000000000001,45.58083324014915,0.13222315565792092,13090.563187028354,792.6129578507591
1.8900000000000001,45.59145850905448,0.13385714433880191,13155.369434141196,806.3559713262019
1.9000000000000001,45.60197369241168,0.13550892795314654,13219.840378160949,820.2875174874086
1.9100000000000001,45.61238016039481,0.13717803988409008,13283.976415454516,834.4058102635296
1.9200000000000002,45.62267926499904,0.138864014787655,13347.777999576909,848.7090078757357
1.93,45.632872340239864,0.14056638929684886,13411.245639259523,863.1952185649878
1.94,45.6429607023526,0.142284702662334,13474.37989644424,877.8625060293201
1.95,45.65294564999233,0.14401849733308406,13537.181384362857,892.7088945743285
1.96,45.6628284644341,0.14576731948043972,13599.650765661612,907.7323739819766
1.97,45.67261040977323,0.14753071946895768,13661.788750570282,922.9309041040292
1.98,45.682292733125635,0.14930825227737143,13723.596095115401,938.3024191873576
1.99,45.69187666482774,0.1510994778729139,13785.07359937721,953.8448319391109
2.0,45.70136341863647,0.15290396154216457,13846.222105789773,969.5560373404684
2.01,45.71075419192859,0.15472127418144943,13907.042497483679,985.433916217956
2.02,45.72005016589973,0.15655099254972238,13967.535696670802,1001.4763385817498
2.03,45.72925250576242,0.15839269948673873,14027.702663070702,1017.68116674069
2.04,45.73836236094404,0.16024598409915078,14087.544392377711,1034.0462582034265
2.05,45.747380865283375,0.16211044191709442,14147.061914768416,1050.5694683757436
2.0599999999999996,45.75630913722669,0.16398567502361885,14206.256293448887,1067.2486530634321
2.07,45.76514828002258,0.16587129215924462,14265.128623240682,1084.0816707904257
2.0799999999999996,45.773899381916024,0.1677669088037539,14323.680029205474,1101.0663849414707
2.09,45.78256351634115,0.1696721472372118,14381.911665307165,1118.2006657385473
2.0999999999999996,45.79114174211295,0.17158663658206702,14439.82471311118,1135.4823920598335
2.11,45.799635103617526,0.1735100128280801,14497.420380520009,1152.909453109944
2.1199999999999997,45.80804463100145,0.17544191884170293,14554.699900544549,1170.4797499498084
2.13,45.8163713403594,0.17738200436138696,14611.664530110269,1188.1911968940612
2.1399999999999997,45.824616233920544,0.17932992598024777,14668.315548897863,1206.041722783865
2.15,45.83278030023342,0.18128534711734876,14724.654258217346,1224.0292721423796
2.1599999999999997,45.84086451434954,0.18324793797882108,14780.681979915262,1242.1518062201344
2.17,45.84886983800505,0.1852173755098966,14836.400055313958,1260.4073039368575
2.1799999999999997,45.85679721980118,0.18719334333889842,14891.809844182517,1278.7937627264519
2.19,45.864647595383076,0.18917553171408588,14946.912723738651,1297.3091992909774
2.1999999999999997,45.87242188761661,0.191163637434241,15001.710087680523,1315.9516502696508
2.21,45.88012100676408,0.19315736377376114,15056.203345248428,1334.7191728283217
2.2199999999999998,45.88774585065776,0.19515642040298894,15110.393920315084,1353.6098451746825
2.23,45.89529730487196,0.19716052330442294,15164.28325050426,1372.6217670041078
2.2399999999999998,45.90277624289338,0.199169394685422,15217.87278633684,1391.7530598809228
2.25,45.910183526289465,0.20118276288793216,15271.163990403895,1411.0018675594208
2.26,45.917520004875364,0.20320036229574653,15324.158336565812,1430.366356248889
2.27,45.924786516878704,0.20522193323974472,15376.85730917731,1449.8447148266237
2.28,45.93198388910287,0.20724722190150868,15429.262402337155,1469.435155002528
2.29,45.93911293708829,0.20927598021570049,15481.375119162441,1489.135911438941
2.3,45.946174465272,0.2113079657715223,15533.196971086498,1508.9452418289447
2.31,45.953169267145455,0.21334294171356655,15584.729477180023,1528.86142693626
2.32,45.960098125410134,0.21538067664232594,15635.974163494797,1548.882770599694
2.3299999999999996,45.966961812131856,0.21742094451459837,15686.932562429289,1569.00759970486
2.34,45.97376108889276,0.21946352454400878,15737.60621211577,1589.2342641257417
2.3499999999999996,45.980496706941935,0.22150820110184993,15787.996655828207,1609.5611366386418
2.36,45.98716940734364,0.22355476361839316,15838.105441410464,1629.9866128106423
2.3699999999999997,45.993779921124144,0.22560300648484338,15887.934120724254,1650.5091108648387
